id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
12497459;False;2;1;Россия;18.12;818;Ялта;2089501, 2038648, 2056651;Информационные системы и технологии, Менеджмент, Economie et gestion;818, 61, 1906517;1, 1, 209;Очное отделение, Очное отделение, Очно-заочное отделение;Выпускник (магистр), Выпускник (магистр), Выпускник (бакалавр);100053, 2263257, 2217867;Институт информационных технологий и управления в технических системах, Институт экономики и менеджмента, Faculté d'économie de Grenoble;1032, 541, 1187850;СевГУ, БФУ им. Канта (бывш. РГУ им. Канта, КГУ), Université Grenoble-Alpes;818;2;161590;Школа №4
12502667;True;1;1;Россия;24.5;185;Севастополь;;;;;;;;;;;;;;
12511925;False;1;1;Россия;1.11;185;Севастополь;;;;;;;;;;;;;;
12512056;;2;;;;;;;;;;;;;;;;;;;
12528612;False;2;1;Россия;10.6.1988;185;Севастополь;;;;;;;;;;;185;2;71577;Школа № 29
12538429;False;2;1;Россия;28.8;185;Севастополь;;;;;;;;;;;;;;
12550553;False;1;1;Россия;7.5;185;Севастополь;;;185;1;Очное отделение;;;;242;МГЛУ;1;1;822;Школа № 1018
12554865;False;1;1;Россия;;185;Севастополь;2102899;Приборостроение;185;1;Очное отделение;Выпускница (специалист);2231798;Факультет технологии и автоматизации машиноприборостоения и транспорта;1032;СевГУ;185;2;72138;Школа № 4
12568737;True;1;1;Россия;8.1;185;Севастополь;;;;;;;;;;;;;;
12595542;True;1;1;Россия;5.9;185;Севастополь;;;;;;;;;;;;;;
12614915;False;1;2;Украина;18.11.1990;185;Севастополь;;;;;;;;;;;;;;
12622050;False;2;1;Россия;2.8.1980;627;Симферополь;;;;;;;;;;;627;1;52476;Школа № 21
12639859;True;1;1;Россия;28.1.1991;2331;Партенит;;;;;;;;;;;;;;
12655451;True;2;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
12721265;;2;;;;;;;;;;;;;;;;;;;
12754905;False;1;1;Россия;21.4;1;Москва;;;;;;;;;;;;;;
12771245;False;1;6;Армения;20.1;;;;;;;;;;;;;;;;
12815984;True;1;;;24.6.1981;;;;;;;;;;;;;;;;
12834355;;1;;;;;;;;;;;;;;;;;;;
12849723;False;1;1;Россия;3.11;185;Севастополь;22863;Иностранной филологии;185;1;Очное отделение;Выпускница (магистр);7930;Историко-филологический факультет;39866;СГГУ;185;2;27420;Школа № 22
12873074;False;1;2;Украина;20.11;185;Севастополь;51262, 59971;Общей психологии, Кафедра логопедии;185, 314;2, 2;Очное отделение, Заочное отделение;Выпускница (специалист), Выпускница (специалист);10123, 49716;Психолого-педагогический факультет, Факультет коррекционной педагогики и психологии;39866, 3502;СГГУ, НПУ им. М. Драгоманова;185;0;47695;Школа № 39
